%RecordDate (EST)	InstrumentID	Height	AHD Level
%day month year hour min Height AHD_level

12 9 20 7 54		0.666979671	-0.343020329
12 9 20 8 00		0.65098244	-0.35901756
12 9 20 8 06		0.648269773	-0.361730227
12 9 20 8 12		0.648756683	-0.361243317
12 9 20 8 18		0.652721345	-0.357278655
12 9 20 8 24		0.656964123	-0.353035877
12 9 20 8 30		0.650773764	-0.359226236
12 9 20 8 36		0.658285439	-0.351714561
12 9 20 8 42		0.651886642	-0.358113358
12 9 20 8 48		0.652651668	-0.357348332
12 9 20 8 54		0.649382532	-0.360617468
12 9 20 9 00		0.648826301	-0.361173699
12 9 20 9 06		0.642635942	-0.367364058
12 9 20 9 12		0.634985209	-0.375014791
12 9 20 9 18		0.635054827	-0.374945173
12 9 20 9 24		0.626847446	-0.383152554
12 9 20 9 30		0.631577194	-0.378422806
12 9 20 9 36		0.631438017	-0.378561983
12 9 20 9 42		0.62406528	-0.38593472
12 9 20 9 48		0.634846091	-0.375153909
12 9 20 9 54		0.660719991	-0.349280009
12 9 20 10 00		0.661415339	-0.348584661
12 9 20 10 06		0.676160574	-0.333839426
12 9 20 10 12		0.676647484	-0.333352516
12 9 20 10 18		0.691184044	-0.318815956
12 9 20 10 24		0.713788807	-0.296211193
12 9 20 10 30		0.74522692	-0.26477308
12 9 20 10 36		0.764006138	-0.245993862
12 9 20 10 42		0.764980137	-0.245019863
12 9 20 10 48		0.783936083	-0.226063917
12 9 20 10 54		0.792157412	-0.217842588
12 9 20 11 00		0.794053197	-0.215946803
12 9 20 11 06		0.788836658	-0.221163342
12 9 20 11 12		0.799096882	-0.210903118
12 9 20 11 18		0.804068744	-0.205931256
12 9 20 11 24		0.812554181	-0.197445819
12 9 20 11 30		0.825282514	-0.184717486
12 9 20 11 36		0.862076163	-0.147923837
12 9 20 11 42		0.89330548	-0.11669452
12 9 20 11 48		0.915353894	-0.094646106
12 9 20 11 54		0.935037374	-0.074962626
12 9 20 12 00		0.950826228	-0.059173772
12 9 20 12 06		0.981777072	-0.028222928
12 9 20 12 12		0.999095798	-0.010904202
12 9 20 12 18		1.015232086	0.005232086
12 9 20 12 24		1.019196868	0.009196868
12 9 20 12 30		1.048895836	0.038895836
12 9 20 12 36		1.069622636	0.059622636
12 9 20 12 42		1.093966484	0.083966484
12 9 20 12 48		1.089932442	0.079932442
12 9 20 12 54		1.110033274	0.100033274
12 9 20 13 00		1.126934648	0.116934648
12 9 20 13 06		1.158581138	0.148581138
12 9 20 13 12		1.173882842	0.163882842
12 9 20 13 18		1.181116343	0.171116343
12 9 20 13 24		1.199826002	0.189826002
12 9 20 13 30		1.228342891	0.218342891
12 9 20 13 36		1.262215257	0.252215257
12 9 20 13 42		1.289618969	0.279618969
12 9 20 13 48		1.302556038	0.292556038
12 9 20 13 54		1.309164047	0.299164047
12 9 20 14 00		1.31118083	0.30118083
12 9 20 14 06		1.306729317	0.296729317
12 9 20 14 12		1.322100759	0.312100759
12 9 20 14 18		1.33649838	0.32649838
12 9 20 14 24		1.352842689	0.342842689
12 9 20 14 30		1.362510681	0.352510681
12 9 20 14 36		1.375795722	0.365795722
12 9 20 14 42		1.39095819	0.38095819
12 9 20 14 48		1.40083468	0.39083468
12 9 20 14 54		1.419057369	0.409057369
12 9 20 15 00		1.440966725	0.430966725
12 9 20 15 06		1.455433965	0.445433965
12 9 20 15 12		1.453208089	0.443208089
12 9 20 15 18		1.457381487	0.447381487
12 9 20 15 24		1.472474337	0.462474337
12 9 20 15 30		1.461206913	0.451206913
12 9 20 15 36		1.4567554	0.4467554
12 9 20 15 42		1.461693645	0.451693645
12 9 20 15 48		1.450217605	0.440217605
12 9 20 15 54		1.458146453	0.448146453
12 9 20 16 00		1.4505651	0.4405651
12 9 20 16 06		1.446740031	0.436740031
12 9 20 16 12		1.43755877	0.42755877
12 9 20 16 18		1.440827727	0.430827727
12 9 20 16 24		1.447087765	0.437087765
12 9 20 16 30		1.458911419	0.448911419
12 9 20 16 36		1.432551026	0.422551026
12 9 20 16 42		1.416345	0.406345
12 9 20 16 48		1.412171841	0.402171841
12 9 20 16 54		1.412101865	0.402101865
12 9 20 17 00		1.403199553	0.393199553
12 9 20 17 06		1.374056578	0.364056578
12 9 20 17 12		1.362371564	0.352371564
12 9 20 17 18		1.351312876	0.341312876
12 9 20 17 24		1.347695827	0.337695827
12 9 20 17 30		1.323839545	0.313839545
12 9 20 17 36		1.307007432	0.297007432
12 9 20 17 42		1.291496873	0.281496873
12 9 20 17 48		1.274943709	0.264943709
12 9 20 17 54		1.243088365	0.233088365
12 9 20 18 00		1.215614796	0.205614796
12 9 20 18 06		1.195931077	0.185931077
12 9 20 18 12		1.166927576	0.156927576
12 9 20 18 18		1.151278019	0.141278019
12 9 20 18 24		1.134724617	0.124724617
12 9 20 18 30		1.129577279	0.119577279
12 9 20 18 36		1.108363628	0.098363628
12 9 20 18 42		1.09523344	0.08523344
12 9 20 18 48		1.070377827	0.060377827
12 9 20 18 54		1.055642486	0.045642486
12 9 20 19 00		1.036966681	0.026966681
12 9 20 19 06		1.017366409	0.007366409
12 9 20 19 12		0.993587911	-0.016412089
12 9 20 19 18		0.9678666	-0.0421334
12 9 20 19 24		0.927247465	-0.082752535
12 9 20 19 30		0.899634898	-0.110365102
12 9 20 19 36		0.88968879	-0.12031121
12 9 20 19 42		0.862284899	-0.147715101
12 9 20 19 48		0.823492229	-0.186507771
12 9 20 19 54		0.805456102	-0.204543898
12 9 20 20 00		0.790853739	-0.219146261
12 9 20 20 06		0.782785594	-0.227214406
12 9 20 20 12		0.756146729	-0.253853271
12 9 20 20 18		0.7400105	-0.2699895
12 9 20 20 24		0.719840109	-0.290159891
12 9 20 20 30		0.703008175	-0.306991825
12 9 20 20 36		0.686245799	-0.323754201
12 9 20 20 42		0.660998166	-0.349001834
12 9 20 20 48		0.650426149	-0.359573851
12 9 20 20 54		0.626430154	-0.383569846
12 9 20 21 00		0.616136372	-0.393863628
12 9 20 21 06		0.583863616	-0.426136384
12 9 20 21 12		0.559651196	-0.450348804
12 9 20 21 18		0.553399384	-0.456600616
12 9 20 21 24		0.599374056	-0.410625944
12 9 20 21 30		0.557572603	-0.452427397
12 9 20 21 36		0.546652794	-0.463347206
12 9 20 21 42		0.521265805	-0.488734195
12 9 20 21 48		0.522726536	-0.487273464
12 9 20 21 54		0.511806667	-0.498193333
12 9 20 22 00		0.496574461	-0.513425539
12 9 20 22 06		0.495461613	-0.514538387
12 9 20 22 12		0.480716497	-0.529283503
12 9 20 22 18		0.496435285	-0.513564715
12 9 20 22 24		0.488784462	-0.521215538
12 9 20 22 30		0.490314752	-0.519685248
12 9 20 22 36		0.467849046	-0.542150954
12 9 20 22 42		0.466249317	-0.543750683
12 9 20 22 48		0.47487402	-0.53512598
12 9 20 22 54		0.494279265	-0.515720735
12 9 20 23 00		0.49094072	-0.51905928
12 9 20 23 06		0.471604884	-0.538395116
12 9 20 23 12		0.492053568	-0.517946432
12 9 20 23 18		0.500956297	-0.509043703
12 9 20 23 24		0.510415614	-0.499584386
12 9 20 23 30		0.499704421	-0.510295579
12 9 20 23 36		0.507842183	-0.502157817
12 9 20 23 42		0.523213446	-0.486786554
12 9 20 23 48		0.529612184	-0.480387816
12 9 20 23 54		0.530029595	-0.479970405
13 9 20 0 00		0.532881141	-0.477118859
13 9 20 0 06		0.553816617	-0.456183383
13 9 20 0 12		0.575308561	-0.434691439
13 9 20 0 18		0.595548689	-0.414451311
